3House Kindergarten (Tampines),103.9310667,1.3491298
ACES Montessori Kidz Kindergarten,103.959529,1.368309
Agape Montessori House Kindergarten,103.832175,1.378401
Al - Amin Pre-School,103.9599199,1.3543579
Al - Amin Preschool (Pasir Ris),103.9599199,1.3543579
Al - Ansar Mosque Kindergarten,103.9262925,1.3270595
Al - Iman Mosque Kindergarten,103.772594,1.378212
Al - Istighfar Mosque Kindergarten,103.9641103,1.3709706
Al - Istiqamah Mosque Kindergarten,103.8755018,1.3691965
Al - Khair Mosque Kindergarten,103.7502014,1.3826357
Al - Mukminin Mosque Kindergarten,103.8461674,1.3704201
Al - Muttaqin Mosque Kindergarten,103.8461674,1.3704201
Al-Nasry @ Jurong West Kindergarten,103.6995117,1.3471749
Al-Nasry @ Sengkang South,103.890162,1.3788221
An - Nur Mosque Kindergarten,103.7719589,1.4407673
Ang Mo Kio Methodist Church Kindergarten,103.835464,1.367176
Ar - Raudhah Mosque Kindergarten,103.7560434,1.3516374
Arise Kindergarten,103.7756776,1.3446027
Artskidz Preschool,103.8332949,1.2733532
Assyakirin Mosque Kindergarten,103.7196359,1.3355809
Banyan Tree Education @ AMK PTE. LTD.,103.8762079,1.3776177
Barker Road Methodist Church Kindergarten,103.834694,1.318914
Bedok Lutheran Church Kindergarten,103.9379989,1.3210671
Bedok Methodist Church Kindergarten,103.953797,1.323675
Bethany Kindergarten,103.8822159,1.3444229
Bethel Kinderlites,103.886822,1.321746
Bethesda (Ang Mo Kio) Kindergarten,103.8373567,1.3747585
Bethesda (Bedok-Tampines) Kindergarten,103.934759,1.331242
Bethesda (Bukit Arang) Kindergarten,103.8673945,1.3493972
Bethesda (Depot Walk) Kindergarten,103.8143836,1.2817819
Bethesda (Katong) Kindergarten,103.918279,1.3166814
Bethesda (Pasir Ris) Kindergarten,103.964391,1.367897
Bethesda Chapel Kindergarten,103.910024,1.32067
Bibinogs Preschool K.A.,103.810749,1.323162
Blue House International School,103.796592,1.3361232
Brain Buttons Kindergarten,103.8640925,1.3890398
Brainy Bunch International Montessori,103.8915416,1.3591279
Brainy Bunch International Montessori (Pasir Ris),103.8915416,1.3591279
British Council (Singapore) Pre-school,103.9412324,1.3564891
Bukit Panjang Methodist Church Kindergarten,103.7676213,1.3611611
Buttercups Kindergarten (Pasir Panjang),103.771164,1.291586
Buttercups Kindergarten (Rochester),103.7882743,1.3052631
Buttercups Montessori Kindergarten,103.7882743,1.3052631
Callidus Preschool,103.846095,1.357572
Calvary Baptist Kindergarten,103.8741399,1.332346
Calvary Pandan Kindergarten,103.7460233,1.3211696
Canaan Church (SCCC) Kindergarten,103.8635088,1.323918
Canossian Convent Kindergarten,103.7649879,1.3453359
Catholic Kindergarten,103.88173,1.359969
Cavenur Kindergarten,103.93311,1.3601893
Cedan Kindergarten,103.90634,1.39946
Centre of New Life Kindergarten,103.6989628,1.3494146
CGM Kindergarten,103.746695,1.3772206
Changi Baptist Church Kindergarten,103.9752474,1.3660104
Chatsworth Preschool,103.871298,1.40283
Chatsworth Preschool (Bedok),103.9475834,1.331816
Chen Li Kindergarten,103.880336,1.309935
Chengzhu Mandarin Kindergarten,103.787966,1.3058751
Cherrybrook Kindergarten,103.806691,1.3180683
Children's Vineyard Kindergarten,103.9047852,1.3122311
Chinese Kindergarten,103.835925,1.285749
Choa Chu Kang Bible Centre Kindergarten,103.743903,1.394727
Church Of Holy Trinity Kindergarten,103.9492958,1.3488435
Clementi Woods Kindergarten LLP,103.765838,1.30275
Creative Thinkers Kindergarten,103.77214,1.341193
Creative Twinkles Preschool,103.9625394,1.3546941
CS Montessori Kindergarten @ Serangoon,103.8726445,1.3508236
CS Montessori Kindergarten @ Tiong Bahru,103.8273373,1.2882708
Damien Centre Kindergarten,103.7988288,1.2951013
Darul Ghufran Mosque Kindergarten,103.9399432,1.355336
Darul Makmur Mosque Kindergarten,103.8343486,1.4368622
Darussalam Mosque Kindergarten,103.7710395,1.3124391
Dayspring Kindergarten,103.8990612,1.4160656
Dayspring Kindergarten @ Marina Country Club,103.8990612,1.4160656
Divinity Kindergarten,103.8945509,1.3264789
Dreamkids Kindergarten @ East Gate Pte Ltd,103.903353,1.3043786
Dynamic World Montessori Preschool,103.9092786,1.3081382
Early Years Montessori,103.766639,1.32574
Edelweiss Kindergarten Sembawang Presbyterian Church,103.8256564,1.4413165
Elim Kindergarten,103.8642651,1.3238941
Elite Learning Kindergarten Pte Ltd,103.697408,1.34439
En-Naeem Mosque Kindergarten,103.89261,1.361
Eshkol Valley @ Gospel Light,103.9136275,1.3915118
Etonhouse International Research Preschool,103.8866797,1.3005794
Evangel Kindergarten,103.791808,1.439408
Evelyn's Schoolhouse,103.7011971,1.3459677
Faith Kindergarten,103.7975265,1.3026209
Far Eastern Kindergarten,103.8382504,1.3154532
First Step Montessori House,103.8277637,1.4262233
Foochow Methodist Church Kindergarten,103.8515421,1.309086
Galilee Kindergarten,103.7460996,1.3217506
Glory Kindergarten,103.7755411,1.3383118
Good Shepherd Convent Kindergarten,103.932694,1.311256
Grace House @ Tanglin,103.8163171,1.2943039
Grace House Kindergarten,103.747426,1.364678
Gracefields Kindergarten,103.758625,1.379654
GUG The Kindergarten,103.8435452,1.317325
Han Junior,103.9225671,1.3237356
Hanis Montessori Kindergarten (Choa Chu Kang),103.747029,1.39068
Hanis Montessori Kindergarten (Enterprise One),103.9022755,1.3328787
Hanis Montessori Kindergarten (Kovan),103.8788087,1.354778
Hanis Montessori Kindergarten (Pasir Ris),103.936692,1.3744101
Hanis Montessori Kindergarten (Tampines),103.9589064,1.3568176
Hanis Montessori Kindergarten (Woodlands),103.7747088,1.4273037
Hasanah Mosque Kindergarten,103.738286,1.3217008
Holy Family Kindergarten,103.9070093,1.3066767
Holy Grace Kindergarten,103.939505,1.314406
Hope Community Kindergarten (Choa Chu Kang),103.7407549,1.37778
Hope Community Kindergarten (Sembawang),103.81481,1.454723
Hope Community Kindergarten (Tampines),103.9521967,1.3614177
Ichiban Nurtureland Kindergarten (Choa Chu Kang),103.745785,1.377413
Iman Kindergarten (Bt. Batok),103.75787,1.347408
Iman Kindergarten (CCK),103.74185,1.3926735
Iman Kindergarten (Tampines),103.945122,1.344925
Iman Kindergarten (Tenagaville),103.90709,1.332107
Iman Kindergarten (Yishun),103.836607,1.425726
Iroha Kindergarten,103.8803298,1.308822
Jamiyah Kindergarten,103.8448114,1.3708618
JENIUS Kindergarten,103.8828,1.36512
Jenius Kindergarten (Hougang),103.8833854,1.3775038
Jessin Kindergarten,103.8485794,1.3362986
JHS Montessori Kindergarten,103.8254332,1.292657
Josiah Montessori Kindergarten,103.9602683,1.3543525
Joyhouse Montessori Preschool,103.845961,1.357302
Jurong Calvary Kindergarten,103.7235618,1.3332755
Jurong Christian Church Kindergarten,103.722226,1.336815
Kampong Kapor Methodist Church Kindergarten,103.85394,1.3073349
Kampung Siglap Mosque Kindergarten,103.927534,1.3097494
Kay Poh Road Baptist Kindergarten,103.8293155,1.2962959
Khalsa Kindergarten,103.859118,1.313781
Kids 'n' Kids School,103.9206702,1.3108336
Kidszone Kindergarten,103.8288369,1.430859
Kidz Meadow Kindergarten,103.94352,1.38375
Kim Keat Christian Church Kindergarten,103.86601,1.32449
Kindergarten@An-Nahdhah,103.8513059,1.353539
Kinderland Kindergarten (Choa Chu Kang),103.7390668,1.377804
Kinderland Kindergarten (Serangoon),103.8740695,1.3510256
Kinderland Kindergarten (Woodlands),103.787195,1.435152
Kinderland Kindergarten (Yio Chu Kang),103.8541982,1.3909646
Kits4Kids Kindergarten,103.913194,1.3123328
Kizroo Kindergarten,103.7932663,1.3384405
Little Hands Montessori Kindergarten,103.8291204,1.3014954
Little Leader Kindergarten,103.8288369,1.430859
Little Oaks Montessori Kindergarten,103.8118615,1.319875
Little Ones Kindergarten,103.7800232,1.3139889
Little Raindrops Montessori Pre-School,103.8290509,1.3013608
Little Woods Montessori Preschool,103.8382065,1.3190227
LittleSparks Montessori Kindergarten,103.9253512,1.3369948
LittleSparks Montessori Kindergarten @ Kembangan,103.9132861,1.3251069
Living Sanctuary Kindergarten,103.8912413,1.3559229
Lumiere Montessori House,103.869774,1.346997
Magdalene's Kindergarten,103.8817003,1.32668
Mahad Al - Nasry Kindergarten,103.9538394,1.3609627
Mahad Al-Nasry @ Sengkang kindergarten,103.9011089,1.3918318
Maris Stella Kindergarten,103.8086403,1.3087161
Marymount Kindergarten,103.8570941,1.3406013
Metamorphosis Kindergarten,103.7457227,1.3851291
Methodist Church Of The Incarnation (MCI) Kindergarten,103.7536484,1.3798574
MFC Kindergarten (Broadrick Road),103.8907084,1.2997929
MFC Kindergarten (Newton),103.8412972,1.317984
Modern Montessori Kindergarten,103.8479378,1.2870439
Monte Kidz World (Hougang),103.8878925,1.3792668
Monte Kidz World (Pasir Ris),103.9419543,1.3785415
Montessori Children's House Kindergarten,103.7907009,1.3321438
Mosaic Kindergarten,103.7837896,1.336411
MRC Kindergarten (Serangoon North),103.8713283,1.3733781
MRC Kindergarten (Yishun South),103.835301,1.416239
Muhammadiyah Kindergarten,103.9152147,1.3231361
Mujahidin Mosque Kindergarten,103.80101,1.29819
My Montessori Preschool @ Bullion,103.8363437,1.3913541
My Prep School,103.925843,1.307426
NAFA Arts Kindergarten,103.9139459,1.3098305
NAFA Arts Kindergarten (Derbyshire),103.845369,1.315478
Nanyang Children School,103.809353,1.2733059
Nanyang Kindergarten,103.8057837,1.3179523
Nanyang Kindergarten,103.8057837,1.3179523
Nativity Church Kindergarten,103.897954,1.374516
New Life Kindergarten,103.7773208,1.4447663
Newton Kindergarten,103.8408075,1.3138597
P & J Kindergarten,-95.712891,37.09024
Paper Scissors Stone Montessori Kindergarten,103.9253512,1.3369948
Paper Scissors Stone Montessori Kindergarten (Bedok Reservoir Branch),103.9253512,1.3369948
Pasir Panjang Hill Church Kindergarten,103.785775,1.280349
Paya Lebar Methodist Church Covenant Kindergarten,103.875476,1.353117
PCF SPARKLETOTS PRESCHOOL @ ADMIRALTY Blk 501 (KN),103.792047,1.4329829
PCF SPARKLETOTS PRESCHOOL @ ADMIRALTY Blk 581 (KN),103.796348,1.430134
PCF SPARKLETOTS PRESCHOOL @ ADMIRALTY Blk 687B (KN),103.807393,1.4417739
PCF SPARKLETOTS PRESCHOOL @ ANG MO KIO-HOUGANG Blk 632 (KN),103.8800095,1.3747713
PCF SPARKLETOTS PRESCHOOL @ ANG MO KIO-HOUGANG Blk 929 (KN),103.8814857,1.376066
PCF SPARKLETOTS PRESCHOOL @ ANG MO KIO-HOUGANG Blk 970 (KN),103.880312,1.378769
PCF SPARKLETOTS PRESCHOOL @ AYER RAJAH Blk 48 (KN),103.739893,1.320538
PCF SPARKLETOTS PRESCHOOL @ BEDOK Blk 30 (KN),103.9364662,1.3236193
PCF SPARKLETOTS PRESCHOOL @ BEDOK RESERVOIR-PUNGGOL Blk 414 (DS),103.89604,1.3748861
PCF SPARKLETOTS PRESCHOOL @ BEDOK RESERVOIR-PUNGGOL Blk 475C (DS),103.9224122,1.3364376
PCF SPARKLETOTS PRESCHOOL @ BEDOK RESERVOIR-PUNGGOL Blk 713 (KN),103.9224122,1.3364376
PCF SPARKLETOTS PRESCHOOL @ BISHAN EAST-THOMSON Blk 144 (KN),103.8533738,1.3459243
PCF SPARKLETOTS PRESCHOOL @ BISHAN EAST-THOMSON Blk 197 (KN),103.8504935,1.34885
PCF SPARKLETOTS PRESCHOOL @ BISHAN EAST-THOMSON Blk 313 (KN),103.8504935,1.34885
PCF SPARKLETOTS PRESCHOOL @ BISHAN NORTH Blk 231 (KN),103.84573,1.357349
PCF SPARKLETOTS PRESCHOOL @ BISHAN NORTH Blk 441 (KN),103.84573,1.357349
PCF SPARKLETOTS PRESCHOOL @ BOON LAY Blk 207 (KN),103.71362,1.34664
PCF SPARKLETOTS PRESCHOOL @ BOON LAY Blk 262 (KN),103.7072763,1.3447063
PCF SPARKLETOTS PRESCHOOL @ BOON LAY Blk 631 (KN),103.7003237,1.3431124
PCF SPARKLETOTS PRESCHOOL @ BRADDELL HEIGHTS Blk 307 (KN),103.866933,1.35455
PCF SPARKLETOTS PRESCHOOL @ BRADDELL HEIGHTS Blk 417 (KN),103.866933,1.35455
PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK Blk 148 (KN),103.7438834,1.3492899
PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK Blk 180 (KN),103.7428809,1.3455047
PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK EAST Blk 241 (KN),103.754458,1.350917
PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK EAST Blk 285C (KN),103.7463455,1.3379097
PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK EAST Blk 289G (KN),103.7590564,1.3450043
PCF SPARKLETOTS PRESCHOOL @ BUKIT GOMBAK Blk 535 (DS),103.750231,1.354954
PCF SPARKLETOTS PRESCHOOL @ BUKIT PANJANG Blk 111 (KN),103.768197,1.378146
PCF SPARKLETOTS PRESCHOOL @ BUKIT PANJANG Blk 226 (KN),103.772335,1.375289
PCF SPARKLETOTS PRESCHOOL @ BUKIT PANJANG Blk 422 (KN),103.769585,1.385016
PCF SPARKLETOTS PRESCHOOL @ BUKIT TIMAH BLK 312B (DS),103.7659837,1.321972
PCF SPARKLETOTS PRESCHOOL @ BUKIT TIMAH Blk 319 (KN),103.7659837,1.321972
PCF SPARKLETOTS PRESCHOOL @ BUONA VISTA Blk 4 (DS),103.7957715,1.3079724
PCF SPARKLETOTS PRESCHOOL @ BUONA VISTA Blk 54 (DS),103.7968651,1.301484
PCF SPARKLETOTS PRESCHOOL @ CANBERRA Blk 330 (DS),103.8177564,1.4467044
PCF SPARKLETOTS PRESCHOOL @ CANBERRA Blk 468D (KN),103.8148359,1.4498023
PCF SPARKLETOTS PRESCHOOL @ CANBERRA Blk 487 (KN),103.8148359,1.4498023
PCF SPARKLETOTS PRESCHOOL @ CASHEW Blk 545 (KN),103.7631547,1.3830664
PCF SPARKLETOTS PRESCHOOL @ CHANGI-SIMEI Blk 119 (KN),103.9521569,1.3438747
PCF SPARKLETOTS PRESCHOOL @ CHANGI-SIMEI Blk 131 (KN),103.9538414,1.3454346
PCF SPARKLETOTS PRESCHOOL @ CHENG SAN-SELETAR Blk 435 (KN),103.8663418,1.405163
PCF SPARKLETOTS PRESCHOOL @ CHENG SAN-SELETAR Blk 533 (KN),103.849892,1.375694
PCF SPARKLETOTS PRESCHOOL @ CHONG PANG Blk 107 (KN),103.827305,1.432263
PCF SPARKLETOTS PRESCHOOL @ CHONG PANG Blk 122 (KN),103.830911,1.4349397
PCF SPARKLETOTS PRESCHOOL @ CHUA CHU KANG Blk 10 (KN),103.7554148,1.380253
PCF SPARKLETOTS PRESCHOOL @ CHUA CHU KANG Blk 123 (KN),103.7554148,1.380253
PCF SPARKLETOTS PRESCHOOL @ CLEMENTI Blk 330 (DS),103.7677038,1.3136913
PCF SPARKLETOTS PRESCHOOL @ CLEMENTI Blk 462A (KN),103.7656197,1.3114618
PCF SPARKLETOTS PRESCHOOL @ EUNOS Blk 122 (KN),103.910503,1.331951
PCF SPARKLETOTS PRESCHOOL @ EUNOS Blk 616 (KN),103.915116,1.331972
PCF SPARKLETOTS PRESCHOOL @ FENGSHAN Blk 126 (KN),103.938667,1.328294
PCF SPARKLETOTS PRESCHOOL @ GAMBAS Blk 309 (KN),103.8212732,1.4467372
PCF SPARKLETOTS PRESCHOOL @ GAMBAS Blk 317 (KN),103.8203026,1.4457976
PCF SPARKLETOTS PRESCHOOL @ GAMBAS Blk 408 (KN),103.8484929,1.4263114
PCF SPARKLETOTS PRESCHOOL @ GEYLANG SERAI Blk 11 (KN),103.8959999,1.3144353
PCF SPARKLETOTS PRESCHOOL @ GEYLANG SERAI Blk 14 (KN),103.8800453,1.3357812
PCF SPARKLETOTS PRESCHOOL @ HENDERSON-DAWSON Blk 124A (KN),103.8167764,1.2864986
PCF SPARKLETOTS PRESCHOOL @ HONG KAH NORTH Blk 276D (KN),103.7044608,1.3534832
PCF SPARKLETOTS PRESCHOOL @ HONG KAH NORTH Blk 319 (KN),103.747236,1.3609131
PCF SPARKLETOTS PRESCHOOL @ HONG KAH NORTH Blk 338 (KN),103.750589,1.363603
PCF SPARKLETOTS PRESCHOOL @ HONG KAH NORTH Blk 750 (KN),103.7003201,1.3475751
PCF SPARKLETOTS PRESCHOOL @ HOUGANG Blk 328 (DS),103.8964516,1.3687457
PCF SPARKLETOTS PRESCHOOL @ JALAN KAYU Blk 518 (KN),103.8742393,1.3717335
PCF SPARKLETOTS PRESCHOOL @ JALAN KAYU Blk 556 (KN),103.856826,1.371808
PCF SPARKLETOTS PRESCHOOL @ JALAN KAYU Blk 987C (DS),103.8782154,1.3800313
PCF SPARKLETOTS PRESCHOOL @ JOO CHIAT Blk 15 (KN),103.9075984,1.3122395
PCF SPARKLETOTS PRESCHOOL @ JURONG CENTRAL Blk 490 (KN),103.7272096,1.3497144
PCF SPARKLETOTS PRESCHOOL @ JURONG SPRING Blk 465 (KN),103.7185808,1.3529873
PCF SPARKLETOTS PRESCHOOL @ JURONG SPRING Blk 515 (KN),103.720431,1.346291
PCF SPARKLETOTS PRESCHOOL @ JURONG SPRING Blk 527 (KN),103.7185808,1.3529873
PCF SPARKLETOTS PRESCHOOL @ KAKI BUKIT Blk 519 (KN),103.9282689,1.3309319
PCF SPARKLETOTS PRESCHOOL @ KAKI BUKIT Blk 526 (KN),103.9291271,1.334214
